iter	Passed	Remaining
0	26	6461
1	45	5474
2	64	5142
3	82	4915
4	106	5081
5	128	5090
6	155	5240
7	189	5570
8	218	5689
9	248	5778
10	270	5702
11	291	5612
12	316	5597
13	345	5643
14	367	5587
15	389	5525
16	411	5475
17	434	5431
18	455	5365
19	478	5340
20	506	5349
21	537	5399
22	562	5384
23	587	5360
24	612	5344
25	640	5347
26	662	5300
27	686	5271
28	714	5271
29	740	5258
30	772	5284
31	796	5250
32	824	5248
33	848	5216
34	875	5203
35	897	5162
36	927	5164
37	958	5172
38	998	5222
39	1031	5237
40	1056	5207
41	1080	5172
42	1103	5131
43	1127	5097
44	1161	5111
45	1192	5105
46	1219	5085
47	1261	5124
48	1284	5085
49	1317	5085
50	1350	5083
51	1390	5107
52	1418	5085
53	1440	5040
54	1462	5000
55	1493	4988
56	1535	5010
57	1564	4991
58	1606	5010
59	1637	4994
60	1665	4968
61	1706	4981
62	1734	4957
63	1789	5003
64	1846	5056
65	1876	5033
66	1916	5034
67	1949	5017
68	1974	4979
69	2016	4982
70	2060	4992
71	2104	4997
72	2149	5006
73	2175	4969
74	2201	4931
75	2229	4898
76	2257	4865
77	2294	4853
78	2321	4819
79	2345	4778
80	2366	4733
81	2385	4683
82	2409	4644
83	2435	4609
84	2458	4569
85	2477	4523
86	2501	4484
87	2524	4447
88	2548	4410
89	2567	4365
90	2592	4329
91	2614	4291
92	2663	4296
93	2695	4272
94	2726	4247
95	2755	4219
96	2781	4186
97	2813	4162
98	2838	4129
99	2862	4093
100	2883	4053
101	2905	4017
102	2930	3982
103	2956	3951
104	2980	3916
105	3002	3880
106	3024	3844
107	3055	3818
108	3089	3798
109	3118	3770
110	3144	3739
111	3174	3712
112	3207	3690
113	3228	3652
114	3264	3633
115	3298	3611
116	3327	3583
117	3361	3561
118	3402	3545
119	3437	3523
120	3473	3502
121	3504	3475
122	3533	3447
123	3556	3412
124	3576	3376
125	3594	3337
126	3615	3302
127	3636	3267
128	3656	3230
129	3673	3193
130	3690	3155
131	3718	3127
132	3740	3093
133	3764	3062
134	3795	3036
135	3821	3006
136	3847	2977
137	3878	2951
138	3898	2916
139	3928	2890
140	3957	2862
141	3981	2831
142	4000	2797
143	4026	2768
144	4053	2739
145	4075	2707
146	4095	2674
147	4118	2643
148	4137	2610
149	4156	2576
150	4179	2546
151	4199	2514
152	4218	2481
153	4237	2448
154	4256	2416
155	4275	2384
156	4294	2352
157	4314	2321
158	4335	2290
159	4356	2260
160	4376	2228
161	4399	2199
162	4419	2169
163	4438	2138
164	4458	2107
165	4481	2078
166	4503	2049
167	4524	2019
168	4543	1989
169	4569	1962
170	4586	1931
171	4604	1900
172	4705	1903
173	4733	1877
174	4752	1846
175	4771	1816
176	4792	1786
177	4813	1757
178	4831	1727
179	4848	1696
180	4864	1666
181	4879	1635
182	4905	1608
183	4927	1580
184	4950	1552
185	4972	1523
186	4994	1495
187	5021	1469
188	5058	1445
189	5080	1417
190	5099	1388
191	5119	1359
192	5140	1331
193	5163	1304
194	5192	1278
195	5210	1249
196	5230	1221
197	5251	1193
198	5281	1167
199	5300	1139
200	5321	1111
201	5345	1085
202	5375	1059
203	5395	1031
204	5411	1003
205	5432	975
206	5450	947
207	5467	919
208	5483	892
209	5508	865
210	5534	839
211	5561	813
212	5600	788
213	5634	763
214	5658	736
215	5682	710
216	5706	683
217	5753	659
218	5783	633
219	5807	607
220	5828	580
221	5851	553
222	5876	527
223	5904	500
224	5923	473
225	5945	447
226	5966	420
227	5986	393
228	6004	367
229	6025	340
230	6050	314
231	6073	287
232	6095	261
233	6114	235
234	6137	208
235	6157	182
236	6184	156
237	6214	130
238	6240	104
239	6262	78
240	6280	52
241	6300	26
242	6322	0
